World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Performance	Score
478	University of Hull	United Kingdom	36	190	260	135	676	74.4
479	Lehigh University	USA	135	165	67	-	728	74.4
480	Savoie Mont Blanc University	France	23	-	-	-	449	74.4
481	University of Tennessee Health Science Center	USA	136	-	-	-	450	74.4
482	Rovira i Virgili University	Spain	14	-	-	-	451	74.4
483	University of Oviedo	Spain	15	-	962	-	455	74.4
484	Shanghai University	China	48	-	973	-	457	74.3
485	Ioffe Physical-Technical Institute of the Russian Academy of Sciences	Russia	4	36	-	212	897	74.3
486	University of Hawaii at Manoa	USA	137	366	1154	-	459	74.3
487	Polytechnic University of Valencia	Spain	16	-	-	-	454	74.3
488	University of Tromsø – The Arctic University of Norway	Norway	4	-	-	-	456	74.3
489	Baylor University	USA	138	-	367	-	475	74.3
490	École normale supérieure de Lyon	France	24	383	-	263	476	74.3
491	Oklahoma State University	USA	139	-	491	-	473	74.3
492	Federal University of Minas Gerais	Brazil	6	-	600	-	466	74.3
493	Chulalongkorn University	Thailand	1	-	117	-	568	74.2
494	Boston College	USA	140	-	157	-	539	74.2
495	Rush University	USA	141	-	-	-	463	74.2
496	Shenzhen University	China	49	-	797	-	465	74.2
497	University of Ferrara	Italy	24	-	-	-	464	74.2
498	Royal Holloway, University of London	United Kingdom	37	393	921	213	541	74.2
499	University of Canterbury	New Zealand	3	336	384	230	550	74.2
500	Leibniz University Hannover	Germany	36	-	907	-	468	74.2
501	University of Modena and Reggio Emilia	Italy	25	-	992	-	467	74.2
502	Nanjing University of Aeronautics and Astronautics	China	50	-	1117	-	469	74.1
503	West Virginia University	USA	142	-	348	-	494	74.1
504	TU Dortmund	Germany	37	-	-	-	470	74.1
505	Nanjing Agricultural University	China	51	-	1470	-	472	74.1
506	University of Surrey	United Kingdom	38	403	443	-	489	74.1
507	Nanjing University of Science and Technology	China	52	-	685	-	477	74.1
508	Bar-Ilan University	Israel	6	-	827	-	478	74.1
509	University College Cork	Ireland	3	-	888	-	480	74.1
510	La Trobe University	Australia	19	-	1173	-	479	74.1
511	Georgia State University	USA	143	-	670	-	490	74.1
512	Beijing University of Chemical Technology	China	53	-	1333	-	481	74.0
513	National Yang-Ming University	Taiwan	5	-	-	-	484	74.0
514	Western Sydney University	Australia	20	-	-	-	485	74.0
515	University of Verona	Italy	26	-	-	-	486	74.0
516	University of Tartu	Estonia	1	455	-	-	488	74.0
517	University of Zagreb	Croatia	1	-	1430	-	487	74.0
518	Nanjing Medical University	China	54	-	-	-	491	74.0
519	University of Potsdam	Germany	38	-	-	-	492	74.0
520	NOVA University of Lisbon	Portugal	4	-	-	-	493	74.0
521	University of South Australia	Australia	21	-	447	-	511	74.0
522	Medical University of Innsbruck	Austria	5	-	-	-	495	73.9
523	Bocconi University	Italy	27	-	46	256	1014	73.9
524	Institute of Cancer Research, University of London	United Kingdom	39	187	-	-	513	73.9
525	University of Bremen	Germany	39	-	-	-	496	73.9
526	San Diego State University	USA	144	321	471	-	515	73.9
527	Carleton University	Canada	20	-	1351	-	498	73.9
528	Huazhong Agricultural University	China	55	-	-	-	497	73.9
529	Novosibirsk State University	Russia	5	401	1338	-	499	73.9
530	Rensselaer Polytechnic Institute	USA	145	416	162	-	585	73.9
531	Xidian University	China	56	359	1072	-	504	73.8
532	University of Nantes	France	25	-	-	-	500	73.8
533	Mayo Clinic College of Medicine and Science	USA	146	-	-	-	501	73.8
534	Polytechnic University of Madrid	Spain	17	478	671	-	508	73.8
535	Medical University of Graz	Austria	6	-	-	-	502	73.8
536	Chiba University	Japan	16	-	-	-	503	73.8
537	Ewha Womans University	South Korea	13	-	-	-	505	73.8
538	University of Graz	Austria	7	375	1151	157	659	73.8
539	Institut Agro	France	26	-	-	-	506	73.8
540	Saint Petersburg University	Russia	6	155	458	-	548	73.8
541	Flinders University	Australia	22	461	-	-	507	73.8
542	University of Arkansas - Fayetteville	USA	147	271	389	-	534	73.7
543	University of Tehran	Iran	2	422	-	-	509	73.7
544	University of Delhi	India	3	521	143	-	602	73.7
545	Auburn University	USA	148	-	241	-	553	73.7
546	University of Iceland	Iceland	1	-	-	-	514	73.7
547	RMIT University	Australia	23	-	991	-	517	73.7
548	Illinois Institute of Technology	USA	149	66	149	-	797	73.7
549	National Central University	Taiwan	6	-	-	-	516	73.7
550	Tata Institute of Fundamental Research	India	4	-	-	-	518	73.7
551	China Medical University, Taiwan	Taiwan	7	-	-	-	519	73.7
552	Institute for Theoretical and Experimental Physics	Russia	7	-	-	-	520	73.6
553	Clemson University	USA	150	-	934	-	523	73.6
554	Ulsan National Institute of Science and Technology	South Korea	14	-	-	-	521	73.6
555	Wuhan University of Technology	China	57	-	982	-	525	73.6
556	Northwest A&F University	China	58	-	-	-	522	73.6
557	College of William & Mary	USA	151	-	94	-	706	73.6
558	Cairo University	Egypt	1	-	1125	-	524	73.6
559	University of Sherbrooke	Canada	21	-	977	-	529	73.6
560	Chang Gung University	Taiwan	8	-	-	-	526	73.6
561	Mahidol University	Thailand	2	-	-	-	527	73.6
562	University of Jyväskylä	Finland	7	-	1419	-	528	73.5
563	Swarthmore College	USA	152	19	230	-	1960	73.5
564	National Technical University of Athens	Greece	3	470	756	-	531	73.5
565	University of Wisconsin–Milwaukee	USA	153	283	451	-	545	73.5
566	University of Texas at Arlington	USA	154	-	927	-	530	73.5
567	Brunel University London	United Kingdom	40	-	495	-	540	73.5
568	University of Burgundy	France	27	161	-	-	551	73.5
569	Northeastern University, China	China	59	-	439	-	544	73.5
570	University of Palermo	Italy	28	-	-	-	532	73.5
571	Middle East Technical University	Turkey	1	-	315	-	561	73.5
572	Indian Institute of Technology Madras	India	5	-	185	-	615	73.5
573	Palacký University Olomouc	Czech Republic	2	-	-	-	535	73.4
574	Brigham Young University	USA	155	318	922	-	543	73.4
575	Haverford College	USA	156	18	-	-	1879	73.4
576	Swansea University	United Kingdom	41	-	1183	-	537	73.4
577	Masaryk University	Czech Republic	3	-	-	-	536	73.4
578	University of Pretoria	South Africa	5	-	771	-	542	73.4
579	University of Nebraska Medical Center	USA	157	-	-	-	538	73.4
580	Moscow Institute of Physics and Technology	Russia	8	158	542	264	611	73.4
581	Fuzhou University	China	60	-	724	-	547	73.4
582	University of St.Gallen	Switzerland	9	-	30	-	1556	73.4
583	Cold Spring Harbor Laboratory	USA	158	-	-	88	831	73.3
584	Indian Institute of Technology Delhi	India	6	-	122	-	678	73.3
585	Indian Institute of Technology Bombay	India	7	-	477	-	563	73.3
586	Concordia University	Canada	22	525	307	-	589	73.3
587	University of Minho	Portugal	5	-	-	-	549	73.3
588	Eötvös Loránd University	Hungary	1	245	-	-	559	73.3
589	Sciences Po	France	28	-	60	61	1844	73.3
590	Polytechnic University of Turin	Italy	29	-	815	-	555	73.3
591	University of Aveiro	Portugal	6	-	-	-	552	73.3
592	Toulouse INP	France	29	-	245	-	607	73.3
593	University of Udine	Italy	30	-	-	-	554	73.3
594	University of Salerno	Italy	31	-	-	-	556	73.2
595	Federal University of São Paulo	Brazil	7	-	-	-	557	73.2
596	St George's, University of London	United Kingdom	42	-	-	-	558	73.2
597	Bielefeld University	Germany	40	-	1452	-	560	73.2
598	Cinvestav	Mexico	2	-	-	-	562	73.2
599	University of Eastern Piedmont	Italy	32	-	-	-	564	73.2
600	University of Plymouth	United Kingdom	43	-	1458	-	565	73.2
601	China University of Petroleum	China	61	-	625	-	578	73.2
602	University of Cagliari	Italy	33	-	-	-	566	73.2
603	Southwest University	China	62	481	1409	-	567	73.2
604	Institut national des sciences appliquées de Lyon	France	30	-	-	-	569	73.2
605	Utah State University	USA	159	351	846	-	576	73.1
606	University of Brescia	Italy	34	-	-	-	570	73.1
607	Comenius University in Bratislava	Slovak Republic	1	-	-	-	571	73.1
608	Sharif University of Technology	Iran	3	399	-	-	573	73.1
609	Czech Technical University in Prague	Czech Republic	4	398	-	-	574	73.1
610	Second Military Medical University	China	63	-	-	-	572	73.1
611	Jinan University	China	64	-	615	-	587	73.1
612	Nanjing Tech University	China	65	-	-	-	575	73.1
613	University of Québec at Montreal	Canada	23	-	937	-	579	73.1
614	Catholic University of Korea	South Korea	15	-	-	-	577	73.1
615	Tilburg University	Netherlands	13	-	363	-	601	73.1
616	University of Bayreuth	Germany	41	-	1401	-	580	73.0
617	Jeonbuk National University	South Korea	16	-	-	-	582	73.0
618	Saarland University	Germany	42	-	463	-	597	73.0
619	National University of La Plata	Argentina	2	-	1404	-	583	73.0
620	University of Konstanz	Germany	43	-	-	-	584	73.0
621	Central China Normal University	China	66	-	1118	-	586	73.0
622	National University of Ireland, Galway	Ireland	4	263	1436	-	596	73.0
623	University of La Laguna	Spain	18	-	-	-	590	73.0
624	AGH University of Science and Technology	Poland	3	-	841	-	591	73.0
625	Memorial University of Newfoundland	Canada	24	-	749	-	595	73.0
626	University of New Hampshire	USA	160	-	581	-	600	73.0
627	Konkuk University	South Korea	17	-	987	-	594	73.0
628	Rio de Janeiro State University	Brazil	8	-	1340	-	592	72.9
629	Tehran University of Medical Sciences	Iran	4	-	-	-	593	72.9
630	Binghamton University	USA	161	302	374	153	837	72.9
631	Jiangnan University	China	67	-	1334	-	598	72.9
632	Nanjing University of Information Science and Technology	China	68	-	-	-	599	72.9
633	University of Wyoming	USA	162	-	684	-	609	72.9
634	L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences	Russia	9	26	-	198	1905	72.9
635	National Polytechnic Institute	Mexico	3	-	-	-	603	72.9
636	Hacettepe University	Turkey	2	-	-	-	604	72.9
637	National Research Nuclear University MEPhI	Russia	10	507	-	-	605	72.9
638	Ocean University of China	China	69	-	1373	-	606	72.9
639	Jiangsu University	China	70	-	1248	-	608	72.8
640	Loyola University Chicago	USA	163	354	952	-	614	72.8
641	University of Texas Medical Branch	USA	164	-	-	-	610	72.8
642	University of Cantabria	Spain	19	-	1420	-	612	72.8
643	Tokyo Medical and Dental University	Japan	17	-	-	-	613	72.8
644	Istanbul University	Turkey	3	488	1114	-	616	72.8
645	Boğaziçi University	Turkey	4	-	686	-	624	72.8
646	University of Haifa	Israel	7	-	1057	-	618	72.8
647	Massey University	New Zealand	4	-	949	-	620	72.8
648	Beijing Jiaotong University	China	71	-	1300	-	617	72.8
649	University of Oklahoma Health Sciences Center	USA	165	-	-	-	619	72.8
650	Shinshu University	Japan	18	-	1392	-	621	72.8
651	Kanazawa University	Japan	19	-	627	-	634	72.7
652	North China Electric Power University	China	72	-	305	-	655	72.7
653	University of Texas at San Antonio	USA	166	-	-	-	622	72.7
654	University of Campania Luigi Vanvitelli	Italy	35	-	-	-	623	72.7
655	Chung-Ang University	South Korea	18	-	1062	-	627	72.7
656	Swinburne University of Technology	Australia	24	-	-	-	625	72.7
657	Southern Medical University	China	73	-	-	-	626	72.7
658	Loughborough University	United Kingdom	44	-	-	269	640	72.7
659	Ankara University	Turkey	5	-	704	-	635	72.7
660	Chungnam National University	South Korea	19	-	-	-	628	72.7
661	University of Kent	United Kingdom	45	-	825	-	632	72.7
662	National Chung Hsing University	Taiwan	9	-	252	-	679	72.7
663	University of Nevada, Reno	USA	167	-	1084	-	631	72.6
664	University of Crete	Greece	4	-	-	-	629	72.6
665	University of Ioannina	Greece	5	-	-	-	630	72.6
666	Semmelweis University	Hungary	2	-	-	-	633	72.6
667	University of Szeged	Hungary	3	-	-	194	753	72.6
668	University of Greifswald	Germany	44	-	-	248	687	72.6
669	Courtauld Institute of Art	United Kingdom	46	15	-	-	-	72.6
670	University of Málaga	Spain	20	-	-	-	636	72.6
671	University of Fribourg	Switzerland	10	-	334	-	671	72.6
672	University of Salamanca	Spain	21	-	933	-	639	72.6
673	Renmin University of China	China	74	-	119	-	791	72.6
674	University of Calabria	Italy	36	-	-	-	637	72.6
675	University of Arkansas for Medical Sciences	USA	168	-	-	-	638	72.5
676	Tokyo Metropolitan University	Japan	20	194	1022	-	662	72.5
677	Inha University	South Korea	20	-	697	-	649	72.5
678	Istanbul Technical University	Turkey	6	-	796	-	645	72.5
679	University of Alaska Fairbanks	USA	169	437	762	-	648	72.5
680	University of Missouri-Kansas City	USA	170	467	554	-	654	72.5
681	Birkbeck, University of London	United Kingdom	47	237	-	170	842	72.5
682	Nanjing Normal University	China	75	-	1005	-	644	72.5
683	Otto von Guericke University Magdeburg	Germany	45	-	-	-	641	72.5
684	University of Debrecen	Hungary	4	-	-	-	642	72.5
685	Oswaldo Cruz Foundation	Brazil	9	-	-	-	643	72.5
686	University of Maine, Orono	USA	171	483	-	121	894	72.5
687	Yokohama City University	Japan	21	-	214	-	717	72.4
688	Donghua University	China	76	-	1218	-	647	72.4
689	Roma Tre University	Italy	37	-	-	-	646	72.4
690	Heriot-Watt University	United Kingdom	48	-	533	-	663	72.4
691	Victoria University of Wellington	New Zealand	5	367	710	-	656	72.4
692	University of Maryland, Baltimore County	USA	172	-	-	235	736	72.4
693	Kumamoto University	Japan	22	-	628	-	665	72.4
694	Taipei Medical University	Taiwan	10	-	-	-	650	72.4
695	Hong Kong Baptist University	China	77	-	1394	-	652	72.4
696	Vilnius University	Lithuania	1	-	-	-	653	72.4
697	Indian Institute of Technology Kharagpur	India	8	-	549	-	672	72.4
698	Mississippi State University	USA	173	328	412	-	694	72.4
699	Hefei University of Technology	China	78	-	812	-	660	72.4
700	University of Angers	France	31	-	-	-	657	72.3
701	Bangor University	United Kingdom	49	200	843	247	744	72.3
702	Augusta University	USA	174	-	-	-	658	72.3
703	Tianjin Medical University	China	79	-	-	-	661	72.3
704	China University of Mining and Technology	China	80	-	898	-	668	72.3
705	Northeast Normal University	China	81	-	-	-	664	72.3
706	University of Johannesburg	South Africa	6	-	972	-	667	72.3
707	Isfahan University of Technology	Iran	5	-	-	-	666	72.3
708	SUNY Downstate Medical Center	USA	175	-	-	149	892	72.3
709	King Fahd University of Petroleum and Minerals	Saudi Arabia	4	-	113	-	836	72.3
710	Niigata University	Japan	23	-	747	-	674	72.3
711	University of North Texas, Denton	USA	176	-	804	-	673	72.3
712	Federal University of Santa Catarina	Brazil	10	-	1490	-	669	72.2
713	American University of Beirut	Lebanon	1	251	191	-	773	72.2
714	Graduate Faculty, General Research Institute For Nonferrous Metals	China	82	-	24	-	-	72.2
715	University of Western Brittany	France	32	-	-	-	670	72.2
716	University of Macau	China	83	-	482	-	695	72.2
717	Warsaw University of Technology	Poland	4	357	1140	-	677	72.2
718	International School for Advanced Studies	Italy	38	-	-	-	675	72.2
719	Kitasato University	Japan	24	-	-	124	938	72.2
720	University of Massachusetts Boston	USA	177	-	1144	185	832	72.2
721	Montana State University - Bozeman	USA	178	-	1261	-	680	72.2
722	University of Vigo	Spain	22	-	-	-	681	72.2
723	Kangwon National University	South Korea	21	-	1486	-	682	72.2
724	Ajou University	South Korea	22	-	1011	-	683	72.2
725	University Paris-Est Créteil	France	33	-	817	-	686	72.1
726	Panjab University	India	9	503	667	-	692	72.1
727	National University of Defense Technology	China	84	-	1237	-	685	72.1
728	University of Castilla–La Mancha	Spain	23	-	-	-	684	72.1
729	Technical University of Braunschweig	Germany	46	462	1058	-	689	72.1
730	University of Lübeck	Germany	47	-	-	-	688	72.1
731	Zhejiang University of Technology	China	85	-	1220	-	690	72.1
732	Tokyo University of Science	Japan	25	306	1050	-	697	72.1
733	Nanchang University	China	86	-	1284	-	691	72.1
734	Southwest Jiaotong University	China	87	-	798	-	696	72.1
735	Sorbonne Paris Nord University	France	34	-	-	-	693	72.1
736	South China Normal University	China	88	-	1023	-	699	72.1
737	University of Salento	Italy	39	-	-	-	698	72.1
738	Army Medical University	China	89	-	-	-	700	72.0
739	Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences	Russia	11	-	-	-	701	72.0
740	Osaka City University	Japan	26	234	530	-	730	72.0
741	University of Idaho	USA	179	-	-	-	702	72.0
742	University of Cyprus	Cyprus	1	-	-	-	703	72.0
743	Kent State University	USA	180	-	-	-	704	72.0
744	University of Girona	Spain	24	-	-	-	705	72.0
745	Ohio University	USA	181	395	364	-	739	72.0
746	Federal University of Paraná	Brazil	11	-	1262	-	707	72.0
747	University of the Andes, Colombia	Colombia	1	-	398	-	734	72.0
748	University of Montana	USA	182	273	-	-	713	72.0
749	Örebro University	Sweden	12	-	822	-	709	72.0
750	University of Essex	United Kingdom	50	509	646	-	718	72.0
751	Southern University of Science and Technology	China	90	-	-	-	708	71.9
752	Air Force Medical University	China	91	-	-	-	710	71.9
753	Quaid-i-Azam University	Pakistan	1	-	-	-	711	71.9
754	University of Science, Malaysia	Malaysia	2	-	-	-	712	71.9
755	Beijing University of Posts and Telecommunications	China	92	-	446	-	737	71.9
756	Northwest University, China	China	93	-	-	-	714	71.9
757	Centrale Lille Institut	France	35	-	99	-	961	71.9
758	University of Wuppertal	Germany	48	-	-	-	715	71.9
759	Amirkabir University of Technology	Iran	6	-	-	-	716	71.9
760	Beijing University of Technology	China	94	-	-	-	719	71.9
761	Yeungnam University	South Korea	23	-	369	-	750	71.9
762	University of Murcia	Spain	25	-	-	-	720	71.9
763	University of Split	Croatia	2	-	-	-	721	71.9
764	Kaohsiung Medical University	Taiwan	11	-	-	-	722	71.8
765	Marche Polytechnic University	Italy	40	-	-	-	723	71.8
766	Qingdao University	China	95	-	-	-	724	71.8
767	Gwangju Institute of Science and Technology	South Korea	24	-	-	-	725	71.8
768	University of Patras	Greece	6	-	-	-	726	71.8
769	Yangzhou University	China	96	-	1500	-	727	71.8
770	University of the Balearic Islands	Spain	26	-	-	-	729	71.8
771	Norwegian University of Life Sciences	Norway	5	-	895	-	733	71.8
772	Getúlio Vargas Foundation	Brazil	12	-	32	-	-	71.8
773	University of Córdoba, Spain	Spain	27	-	-	-	731	71.8
774	Yerevan Physics Institute	Armenia	1	-	-	-	732	71.8
775	Nagasaki University	Japan	27	285	285	-	799	71.8
776	University of Denver	USA	183	-	181	-	854	71.8
777	University of Tours	France	36	160	-	-	779	71.8
778	Open University, UK	United Kingdom	51	-	1513	-	738	71.7
779	National Sun Yat-sen University	Taiwan	12	-	-	-	740	71.7
780	Sejong University	South Korea	25	-	-	-	741	71.7
781	Northern Illinois University	USA	184	-	687	-	748	71.7
782	Gyeongsang National University	South Korea	26	-	-	-	742	71.7
783	Nanjing University of Posts and Telecommunications	China	97	-	1006	-	745	71.7
784	Kindai University	Japan	28	-	-	-	743	71.7
785	Miami University	USA	185	-	123	-	926	71.7
786	Wesleyan University	USA	186	-	52	-	1483	71.7
787	Jean Monnet University	France	37	-	-	-	746	71.7
788	Juntendo University	Japan	29	-	-	-	747	71.7
789	University of North Carolina at Charlotte	USA	187	-	610	-	760	71.7
790	Jawaharlal Nehru University	India	10	487	-	78	1258	71.7
791	University of Natural Resources and Life Sciences, Vienna	Austria	8	-	-	-	749	71.7
792	Aberystwyth University	United Kingdom	52	-	785	207	903	71.6
793	University of L'Aquila	Italy	41	-	-	-	751	71.6
794	Ain Shams University	Egypt	2	-	-	-	752	71.6
795	National Taiwan University of Science and Technology	Taiwan	13	-	1105	-	757	71.6
796	South China Agricultural University	China	98	-	1493	-	754	71.6
797	Shizuoka University	Japan	30	-	1187	93	1141	71.6
798	Belarusian State University	Belarus	1	-	-	-	755	71.6
799	Tarbiat Modares University	Iran	7	-	-	-	756	71.6
800	University of Rhode Island	USA	188	-	523	-	785	71.6
801	University of Toledo	USA	189	-	-	-	758	71.6
802	Putra University, Malaysia	Malaysia	3	-	1457	-	759	71.6
803	USI - University of Italian Speaking Switzerland	Switzerland	11	-	-	-	761	71.6
804	Graz University of Technology	Austria	9	-	-	-	762	71.6
805	Carl von Ossietzky University of Oldenburg	Germany	49	-	-	-	763	71.6
806	University of Louisiana at Lafayette	USA	190	-	-	-	764	71.5
807	Carlos III University of Madrid	Spain	28	-	-	-	765	71.5
808	University of Caen Normandy	France	38	-	-	-	766	71.5
809	Harbin Medical University	China	99	-	-	-	767	71.5
810	Ege University	Turkey	7	-	-	-	769	71.5
811	University of Nevada, Las Vegas	USA	191	-	1069	-	771	71.5
812	Polytechnic University of Bari	Italy	42	-	-	-	770	71.5
813	Jawaharlal Nehru Centre for Advanced Scientific Research	India	11	-	-	114	1106	71.5
814	Wenzhou Medical University	China	100	-	-	-	772	71.5
815	Hasselt University	Belgium	8	-	653	-	789	71.5
816	National University of Colombia	Colombia	2	-	805	-	786	71.5
817	Shaanxi Normal University	China	101	-	-	-	774	71.5
818	China Medical University, PRC	China	102	-	-	-	775	71.5
819	Old Dominion University	USA	192	-	-	-	776	71.5
820	University of Siegen	Germany	50	-	1442	-	777	71.4
821	Shanxi University	China	103	-	1472	-	778	71.4
822	Hohai University	China	104	-	1387	-	781	71.4
823	University of Messina	Italy	43	-	-	-	780	71.4
824	University of Concepción	Chile	3	-	-	-	782	71.4
825	Guangdong University of Technology	China	105	-	-	-	783	71.4
826	Gazi University	Turkey	8	-	1370	-	784	71.4
827	Liverpool John Moores University	United Kingdom	53	-	-	-	787	71.4
828	Ryerson University	Canada	25	-	-	-	788	71.4
829	Cranfield University	United Kingdom	54	-	178	-	912	71.4
830	Indian Institute of Technology Kanpur	India	12	-	514	-	804	71.4
831	Norwegian School of Economics	Norway	6	456	41	-	-	71.4
832	University of Hohenheim	Germany	51	-	-	-	790	71.4
833	University of Wrocław	Poland	5	464	1332	252	856	71.4
834	East Carolina University	USA	193	-	722	-	800	71.3
835	University of Alcalá	Spain	29	-	-	-	792	71.3
836	Adam Mickiewicz University in Poznań	Poland	6	-	-	-	793	71.3
837	Southern Illinois University Carbondale	USA	194	-	1423	-	795	71.3
838	Brazilian Center for Research in Physics (CBPF)	Brazil	13	-	-	-	794	71.3
839	Uniformed Services University of the Health Sciences	USA	195	-	-	-	796	71.3
840	University of Orléans	France	39	-	1445	-	798	71.3
841	Rutgers University–Newark	USA	196	-	858	-	802	71.3
842	University of Alicante	Spain	30	-	-	-	801	71.3
843	INSA Toulouse	France	40	-	547	-	822	71.3
844	Federico Santa María Technical University	Chile	4	-	1137	-	803	71.3
845	University of Brasília	Brazil	14	-	924	-	806	71.3
846	University of Basilicata	Italy	44	-	-	-	805	71.3
847	Beijing Forestry University	China	106	-	-	-	807	71.3
848	New Mexico State University	USA	197	469	766	-	815	71.3
849	Indian Institute of Technology Roorkee	India	13	-	279	-	874	71.2
850	University of Jinan	China	107	-	1368	-	808	71.2
851	University of Brighton	United Kingdom	55	-	-	-	809	71.2
852	University of California, Merced	USA	198	-	-	-	810	71.2
853	Banaras Hindu University	India	14	332	665	-	834	71.2
854	University of Mons	Belgium	9	-	-	-	811	71.2
855	Northern Arizona University	USA	199	-	1138	-	814	71.2
856	Graduate University for Advanced Studies	Japan	31	-	-	-	812	71.2
857	Keele University	United Kingdom	56	-	-	-	813	71.2
858	Murdoch University	Australia	25	-	854	-	821	71.2
859	University of Windsor	Canada	26	-	172	-	957	71.2
860	University of Valladolid	Spain	31	-	1241	-	816	71.2
861	Portland State University	USA	200	-	359	-	862	71.2
862	Babeș-Bolyai University	Romania	1	-	-	-	817	71.2
863	University of Insubria	Italy	45	-	-	-	818	71.1
864	Benemérita Autonomous University of Puebla	Mexico	4	-	-	-	819	71.1
865	Federal University of Pernambuco	Brazil	15	-	1193	-	820	71.1
866	TU Kaiserslautern	Germany	52	-	1115	-	823	71.1
867	City, University of London	United Kingdom	57	517	432	-	855	71.1
868	Sofia University	Bulgaria	1	164	-	-	866	71.1
869	Guangzhou Medical University	China	108	-	-	-	824	71.1
870	University of Hyogo	Japan	32	-	-	93	1286	71.1
871	COMSATS University Islamabad	Pakistan	2	-	-	-	825	71.1
872	Nihon University	Japan	33	516	1213	-	827	71.1
873	All India Institute of Medical Sciences, New Delhi	India	15	-	-	-	826	71.1
874	University of Akron	USA	201	-	748	-	835	71.1
875	Meijo University	Japan	34	-	-	48	1769	71.1
876	Jaume I University	Spain	32	-	-	-	828	71.1
877	University of Stirling	United Kingdom	58	-	606	-	845	71.1
878	Pepperdine University	USA	202	92	76	159	-	71.0
879	Paul Valéry University	France	41	-	-	-	829	71.0
880	Harbin Engineering University	China	109	-	-	-	830	71.0
881	University of Science and Technology, Korea	South Korea	27	-	-	-	833	71.0
882	University of Portsmouth	United Kingdom	59	-	1008	-	839	71.0
883	Bucknell University	USA	203	-	50	-	1790	71.0
884	University of Poitiers	France	42	333	-	-	848	71.0
885	Ivane Javakhishvili Tbilisi State University	Georgia	1	-	-	-	838	71.0
886	National University of Malaysia (UKM)	Malaysia	4	-	-	-	840	71.0
887	Iran University of Science and Technology	Iran	8	-	-	-	841	71.0
888	Chongqing Medical University	China	110	-	-	-	843	71.0
889	Institut national de la recherche scientifique	Canada	27	-	-	-	844	71.0
890	Colgate University	USA	204	-	47	-	1920	71.0
891	Dongguk University	South Korea	28	-	540	-	864	71.0
892	Inje University	South Korea	29	-	-	-	846	71.0
893	University POLITEHNICA of Bucharest	Romania	2	-	-	-	847	71.0
894	National Research University Higher School of Economics	Russia	12	-	-	-	849	70.9
895	Gachon University	South Korea	30	-	-	-	850	70.9
896	Michigan Technological University	USA	205	342	984	-	852	70.9
897	London Business School	United Kingdom	60	-	64	-	1495	70.9
898	Budapest University of Technology and Economics	Hungary	5	223	-	-	872	70.9
899	Sanford Burnham Prebys Medical Discovery Institute	USA	206	-	-	-	851	70.9
900	University of Seoul	South Korea	31	-	-	-	853	70.9
901	Tokushima University	Japan	35	142	849	-	918	70.9
902	Cheung Kong Graduate School of Business	China	111	-	31	-	-	70.9
903	Ulster University	United Kingdom	61	-	-	-	857	70.9
904	Gabriele d’Annunzio University	Italy	46	-	-	-	858	70.9
905	Çukurova University	Turkey	9	-	-	-	859	70.9
906	Federal University of ABC	Brazil	16	-	-	-	860	70.9
907	University of Luxembourg	Luxembourg	1	-	-	-	861	70.9
908	Antioch College	USA	207	22	-	-	-	70.9
909	Missouri University of Science and Technology	USA	208	-	418	-	895	70.8
910	Bilkent University	Turkey	10	-	801	-	868	70.8
911	Medical University of Warsaw	Poland	7	-	-	-	863	70.8
912	Tomsk State University	Russia	13	-	-	-	865	70.8
913	University of the Republic, Uruguay	Uruguay	1	-	1510	-	867	70.8
914	Chungbuk National University	South Korea	32	-	-	-	869	70.8
915	National University of Córdoba	Argentina	3	-	-	-	870	70.8
916	University of Texas Rio Grande Valley	USA	209	-	-	-	871	70.8
917	North Dakota State University	USA	210	320	1092	-	879	70.8
918	Claremont McKenna College	USA	211	-	45	-	-	70.8
919	Peter the Great St. Petersburg Polytechnic University	Russia	14	479	946	-	875	70.8
920	Henan University	China	112	-	-	-	873	70.8
921	Federal University of Viçosa	Brazil	17	-	-	-	876	70.8
922	North-West University	South Africa	7	-	-	-	877	70.8
923	Makerere University	Uganda	1	-	1388	-	878	70.8
924	University of Franche-Comté	France	43	482	-	-	880	70.8
925	Johannes Kepler University Linz	Austria	10	-	821	-	888	70.7
926	University of Memphis	USA	212	-	484	-	909	70.7
927	Anhui University	China	113	-	966	-	886	70.7
928	Tunis El Manar University	Tunisia	1	-	-	-	881	70.7
929	China Pharmaceutical University	China	114	-	1242	-	882	70.7
930	Chiang Mai University	Thailand	3	-	1483	-	883	70.7
931	Tokai University	Japan	36	-	-	-	884	70.7
932	Federal University of Ceará	Brazil	18	-	1362	-	885	70.7
933	Oberlin College	USA	213	30	-	-	-	70.7
934	Hangzhou Normal University	China	115	-	1453	-	887	70.7
935	Ritsumeikan University	Japan	37	-	590	-	904	70.7
936	University of Technology, Malaysia	Malaysia	5	-	-	-	889	70.7
937	Shandong First Medical University & Shandong Academy of Medical Sciences	China	116	-	-	-	890	70.7
938	Guangxi University	China	117	-	-	-	891	70.7
939	Northumbria University	United Kingdom	62	-	838	-	896	70.7
940	Wroclaw Medical University	Poland	8	-	-	-	893	70.6
941	Ehime University	Japan	38	-	1031	-	900	70.6
